Nature du Format;nom_destination;indicatif;Valeur niveau Fraude
4;INDIA GSM;9175270;A
4;CANADA NWT;1250771;A
4;DOMINICAN REP LOCAL OTHER;180928985;A
4;BRUNEI GSM;673229;A
4;INDIA GSM;9175589;A
4;GEORGIA GSM;99592;C
4;BOSNIA SRPSKA;387538;B
4;BRAZIL GSM;55419;A
4;MEXICO GSM ZONE3;521285;A
4;POLAND OLO;48815167;A
4;DOMINICAN REP LOCAL OTHER;180973100;A
4;BOLIVIA RURAL;59139322;B
4;POLAND OLO;48585260;A
4;LITHUANIA PRS;37069797;G
4;SOUTH AFRICA PRS;2751004;C
4;BRAZIL GSM;554396;A
4;MEXICO ZONE3;52914;A
4;SERBIA GSM TELENOR;38162;D
4;DOMINICAN REP LOCAL OTHER;180973528;A
4;PHILIPPINES GSM SMAR;63929;B
4;POLAND OLO;48818848;A
4;POLAND OLO;48774110;A
4;SOUTH AFRICA PRS;27103440;C
4;INDIA GSM;9172208;A
4;MEXICO GSM ZONE3;521996;A
4;DOMINICAN REP GSM;1829821;A
4;SPAIN GSM TELEFONICA;34650;A
4;LATVIA GSM BITE;3712357;A
4;SOUTH AFRICA PRS;271131011;C
4;MEXICO ZONE3;52383;A
4;TANZANIA GSM;25573;C
4;MALI GSM ATEL;22342;D
4;DOMINICAN REP GSM;1809752;A
4;DOMINICAN REP LOCAL OTHER;18095646;A
4;DOMINICAN REP LOCAL OTHER;1809561;A
4;INDIA GSM;9175869;A
4;BRAZIL GSM;551195170;A
4;POLAND OLO;48893000;A
4;INDIA GSM;9178068;A
4;MARTINIQUE GSM DIGI;59669611;A
4;POLAND GSM PM4;488839;A
4;INDIA GSM;9181888;A
4;USA;1786;A
4;SOUTH AFRICA PRS;27141530;C
4;EGYPT GSM ETISALAT;2011;B
4;INDIA GSM;9188680;A
4;SOUTH AFRICA PRS;271131013;C
4;SWEDEN GSM TELENOR;467320;A
4;INDIA GSM;9183869;A
4;INDIA GSM;918083;A
4;POLAND GSM PM4;487959;A
4;ALBANIA AMC;35521940;B
4;CHILE RUR;56632972;A
4;DOMINICAN REP LOCAL OTHER;18092872;A
4;JAMAICA GSM DIGICEL;1876403;B
4;PERU RURAL;514362;A
4;THAILAND GSM DTAC;6690009;A
4;INDIA GSM RELIANCE;919817;A
4;USA;1217;A
4;LEBANON GSM;9613;B
4;INDIA GSM;918909;A
4;MEXICO GSM ZONE3;521343;A
4;PORTUGAL GSM MEO;351639280;A
4;POLAND OLO;48183003;A
4;POLAND GSM PM4;4878023;A
4;INDIA GSM;9186239;A
4;POLAND OLO;4891471;A
4;MEXICO GSM ZONE2;521354;A
4;POLAND OLO;485835;A
4;INDIA GSM;9176159;A
4;USA;1475;A
4;CAMEROON GSM ORANGE;23769;D
4;TUNISIA PRS;21681;G
4;POLAND GSM PM4;486999;A
4;INDIA GSM;9175458;A
4;INDIA GSM;918434;A
4;PORTUGAL GSM MEO;3516392851;A
4;DOMINICAN REP GSM VIVA;1809443;A
4;POLAND GSM ERA;4872990;A
4;DOMINICAN REP LOCAL OTHER;180982550;A
4;LITHUANIA PRS;37069119;G
4;UK GSM O2;4478648;A
4;POLAND OLO;48914604;A
4;BANGLADESH GSM;88015;A
4;CHILE RUR;5665971;A
4;SOUTH AFRICA PRS;27173300;C
4;AUSTRALIA GSM VODA;61410;A
4;MEXICO GSM ZONE2;521891;A
4;POLAND OLO;48585636;A
4;DOMINICAN REP GSM;1809632;A
4;AUSTRALIA GSM OPTUS;61422;A
4;UK GSM ALTERNATIVE NETWORK;4477443;C
4;POLAND OLO;4832464;A
4;THAILAND GSM DTAC;6690685;A
4;DOMINICAN REP GSM ORANGE;1849313;A
4;POLAND OLO;48126259;A
4;MOROCCO GSM WANA FULL MOBILITY;212695;E
4;REUNION GSM SRR;26269245;A
4;DOMINICAN REP GSM ORANGE;1809885;A
4;BOLIVIA RURAL;59139669;B
4;CAMBODIA METFONE;855526;A
4;POLAND OLO;4814639;A
4;SOUTH AFRICA PRS;27221250;C
4;POLAND OLO;48122020;A
4;INDIA GSM;9183429;A
4;DOMINICAN REP LOCAL OTHER;18097365;A
4;CHILE RUR;56432970;A
4;SOUTH AFRICA PRS;27401500;C
4;DOMINICAN REP GSM VIVA;1849437;A
4;BRAZIL GSM;554381;A
4;DOMINICAN REP GSM;1829684;A
4;DOMINICAN REP LOCAL OTHER;180950842;A
4;LATVIA GSM BITE;3712902;A
4;BRAZIL GSM;553396;A
4;THAILAND GSM DTAC;668396;A
4;DOMINICAN REP GSM ORANGE;1809993;A
4;BRAZIL GSM;552183;A
4;INDIA GSM;9172039;A
4;DOMINICAN REP LOCAL OTHER;18095455;A
4;LITHUANIA PRS;37066317;G
4;MEXICO GSM ZONE3;521869;A
4;POLAND OLO;48767515;A
4;BRAZIL GSM;55115214;A
4;NETHERLANDS ANT GSM;59980;B
4;SAUDI ARABIA GSM STC;96650;A
4;INDIA GSM RELIANCE;918927;A
4;AUSTRALIA CITIES;61860;A
4;DOMINICAN REP GSM;18096590;A
4;INDIA GSM;9185378;A
4;DOMINICAN REP GSM;1809223;A
4;POLAND OLO;4844732;A
4;BRAZIL GSM;55496;A
4;PERU RURAL;516161;A
4;UK GSM O2;447705;A
4;POLAND OLO;4883314;A
4;MEXICO ZONE2;52468;A
4;NORWAY GSM NETCOM;474744;A
4;THAILAND GSM DTAC;6690058;A
4;IVORY COAST GSM ORA;22509;D
4;USA;1239;A
4;DOMINICAN REP GSM;1809254;A
4;SOUTH AFRICA PRS;27210070;C
4;LITHUANIA OLO;37041721;B
4;NORWAY GSM NETCOM;47984;A
4;POLAND OLO;48426166;A
4;GUINEA BISSAU GSM;2456;E
4;BURKINA FASO GSM TELECEL;22658;C
4;ARUBA GSM;29759;B
4;DOMINICAN REP GSM ORANGE;1809977;A
4;CHILE TELCOY;5667227;A
4;BOSNIA SRPSKA;38733982;B
4;PORTUGAL GSM MEO;35163927;A
4;INDIA GSM;918058;A
4;INDIA GSM;9178480;A
4;INDIA GSM RELIANCE;919022;A
4;INDIA GSM;9170990519;A
4;SWEDEN GSM TELIA;4673175;A
4;DOMINICAN REP LOCAL OTHER;180951848;A
4;POLAND OLO;48158161;A
4;DOMINICAN REP LOCAL OTHER;18095087;A
4;RUSSIA ZONE 1;73422;A
4;INDIA GSM VODAFONE;919739;A
4;INDIA GSM;917096;A
4;DENMARK GSM TELENOR;45816;A
4;USA;1253;A
4;SWEDEN GSM TELENOR;467237;A
4;DOMINICAN REP LOCAL OTHER;1809870;A
4;DOMINICAN REP LOCAL OTHER;18092226;A
4;GUYANA GSM;592638;C
4;LATVIA OLO;3716471;E
4;SWEDEN GSM TELENOR;467637;A
4;POLAND OLO;484365;A
4;DOMINICAN REP GSM ORANGE;1829701;A
4;INDIA GSM;9172210;A
4;INDIA GSM;9188659;A
4;INDIA GSM RELIANCE;918893;A
4;DOMINICAN REP LOCAL OTHER;182989571;A
4;INDIA GSM;9177679;A
4;MEXICO GSM ZONE3;521482;A
4;ALBANIA AMC;35588440;B
4;LATVIA GSM BITE;3712450;A
4;TOGO GSM MOOV;22899;C
4;USA;1815;A
4;DOMINICAN REP LOCAL OTHER;1809734;A
4;UK GSM O2;4478746;A
4;ITALY;39;A
4;SOUTH AFRICA PRS;27541500;C
4;DOMINICAN REP GSM;1809462;A
4;SOUTH AFRICA PRS;27124100;C
4;SOUTH AFRICA PRS;27125343;C
4;DOMINICAN REP GSM;1809545;A
4;UK GSM ORANGE;447556;A
4;MEXICO GSM ZONE3;521738;A
4;DOMINICAN REP GSM;1829479;A
4;GUADELOUPE GSM ORA;59069132;A
4;THAILAND GSM DTAC;6690651;A
4;POLAND OLO;48713080;A
4;INDIA GSM;918097;A
4;DENMARK GSM TELENOR;458185;A
4;SOUTH AFRICA PRS;2716004;C
4;ECUADOR GSM PORTA;5939695;B
4;INDIA GSM;9176629;A
4;UK GSM VODAFONE;447836;A
4;DOMINICAN REP LOCAL OTHER;180973141;A
4;INDIA GSM;9184639;A
4;BOSNIA SRPSKA;3875490;B
4;PORTUGAL GSM VODAFONE;351659201;A
4;NEW CALEDONIA GSM;68783;B
4;NICARAGUA GSM;505558;C
4;POLAND OLO;48323268;A
4;UGANDA GSM MTN;25639;D
4;CHILE RUR;56613;A
4;LATVIA GSM LMT;371278;A
4;DOMINICAN REP LOCAL OTHER;1809597;A
4;UK GSM TMOBILE;447804;A
4;SWEDEN GSM TELENOR;467386;A
4;JAMAICA GSM DIGICEL;1876279;B
4;THAILAND GSM DTAC;6690673;A
4;DENMARK GSM TELIA;45523;A
4;TRINIDAD-TOBAGO GSM;1868418;B
4;NORWAY GSM TELENOR;47905;A
4;GUADELOUPE GSM ONLY;59069098;A
4;UK GSM TMOBILE;447535;A
4;USA;1507;A
4;RUSSIA GSM BEELINE;7902556;C
4;DOMINICAN REP GSM;1849341;A
4;INDIA GSM;9176630;A
4;POLAND OLO;48542709;A
4;INDIA GSM;9176648;A
4;DOMINICAN REP GSM;1829423;A
4;BRAZIL GSM;55697;A
4;SWEDEN GSM COMVIQ;467202;A
4;ECUADOR GSM MOVISTAR;5939929;B
4;MARTINIQUE GSM DIGI;59669617;A
4;MOROCCO GSM IAM;212618;E
4;SPAIN GSM TELEFONICA;346812;A
4;LATVIA GSM BITE;3712760;A
4;DOMINICAN REP LOCAL OTHER;180926270;A
4;DOMINICAN REP GSM;1809720;A
4;NORWAY GSM TELENOR;479746;A
4;BOSNIA SRPSKA;38733983;B
4;DOMINICAN REP LOCAL OTHER;18093846;A
4;ALBANIA AMC;35536480;B
4;THAILAND GSM DTAC;6690701;A
4;INDIA GSM VODAFONE;919554;A
4;BRAZIL GSM;55115076;A
4;ISRAEL PALTEL;97222;B
4;BRAZIL GSM;551996;A
4;NORWAY GSM TELENOR;479476;A
4;INDIA GSM;9176100;A
4;REUNION GSM SRR;26269276;A
4;INDIA GSM;9178419;A
4;POLAND OLO;48257506;A
4;TURKS & CAICOS GSM;1649247;B
4;ALBANIA AMC;35539880;B
4;DOMINICAN REP GSM;1849458;A
4;DOMINICAN REP LOCAL OTHER;180996070;A
4;DOMINICAN REP LOCAL OTHER;180926277;A
4;NICARAGUA GSM;50577;C
4;DOMINICAN REP LOCAL OTHER;180952394;A
4;POLAND OLO;48122124;A
4;PERU RURAL;514327;A
4;GUADELOUPE GSM ORA;59069030;A
4;DOMINICAN REP LOCAL OTHER;180922790;A
4;DOMINICAN REP GSM ORANGE;1809866;A
4;QATAR GSM;9743;B
4;MEXICO GSM ZONE3;521671;A
4;REUNION GSM ORANGE;26269241;A
4;SOUTH AFRICA PRS;27411110;C
4;INDIA GSM;9187359;A
4;BRAZIL GSM;55436;A
4;SPAIN GSM TELEFONICA;34676;A
4;MEXICO GSM ZONE3;521347;A
4;BRAZIL GSM;55329;A
4;DOMINICAN REP;1849;A
4;UK GSM TMOBILE;447432;A
4;DOMINICAN REP LOCAL VIVA;1849296;A
4;BOSNIA SRPSKA;387575;B
4;DOMINICAN REP LOCAL OTHER;18092620;A
4;POLAND OLO;488744;A
4;INDIA GSM;918292;A
4;MEXICO ZONE2;52771;A
4;BOSNIA SRPSKA;387536;B
4;DOMINICAN REP GSM VIVA;1829408;A
4;INDIA GSM;9191;A
4;GREENLAND;299;C
4;BRAZIL GSM;55115789;A
4;DOMINICAN REP GSM VIVA;1809309;A
4;CHILE RUR;56432976;A
4;REUNION GSM SRR;26269212;A
4;ALBANIA AMC;35536063;B
4;PERU GSM MOVISTAR;5194379;A
4;INDIA GSM;9175748;A
4;INDIA GSM;9185170;A
4;INDIA GSM VODAFONE;919734;A
4;INDIA GSM RELIANCE;917620;A
4;SOUTH AFRICA PRS;27440502;C
4;NORWAY GSM TELENOR;479478;A
4;INDIA GSM;9176210;A
4;POLAND OLO;4876749;A
4;MEXICO GSM ZONE3;521394;A
4;CAMBODIA METFONE;855626;A
4;SOUTH AFRICA PRS;271179764;C
4;POLAND OLO;48327071;A
4;INDIA GSM;9177628;A
4;ST PIERRE GSM;50840;D
4;POLAND OLO;481333;A
4;SWITZERLAND GSM SWIS;41860774;A
4;INDIA GSM VODAFONE;917381;A
4;CHILE TELCOY;5667224;A
4;ICELAND GSM;35495;A
4;DOMINICAN REP LOCAL OTHER;180928692;A
4;AUSTRALIA GSM OPTUS;61466;A
4;LITHUANIA GSM BITE;370642;E
4;DOMINICAN REP LOCAL OTHER;18095086;A
4;UK GSM TMOBILE;447726;A
4;NORWAY GSM TELENOR;479911;A
4;UKRAINE CITIES;380562;B
4;DOMINICAN REP GSM;1829525;A
4;SOUTH AFRICA PRS;2721100;C
4;NORWAY GSM NETCOM;479854;A
4;AUSTRALIA GSM OPTUS;61478;A
4;MEXICO ZONE3;52778;A
4;CHILE RUR;562197;A
4;INDIA GSM;9183990;A
4;POLAND OLO;4832458;A
4;DENMARK GSM TDC;458140;A
4;MEXICO GSM ZONE3;521743;A
4;DENMARK GSM TELENOR;459262;A
4;SPAIN GSM TELEFONICA;346433;A
4;POLAND OLO;48833701;A
4;BRAZIL GSM;551157;A
4;INDIA GSM;9175849;A
4;KYRGYZSTAN GSM;996202;B
4;DOMINICAN REP LOCAL OTHER;180937291;A
4;MOLDOVA GSM ORANGE;373611;C
4;DOMINICAN REP GSM;1809453;A
4;INDIA GSM;9181910;A
4;SWITZERLAND GSM SUN;418607696;A
4;ALBANIA AMC;35586494;B
4;DOMINICAN REP LOCAL OTHER;18295445;A
4;MEXICO GSM ZONE2;521246;A
4;SOUTH AFRICA PRS;27342850;C
4;PORTUGAL GSM VODAFONE;351609201;A
4;DOMINICAN REP LOCAL OTHER;182989572;A
4;POLAND OLO;48447164;A
4;MADAGASCAR GSM;2613;F
4;DOMINICAN REP LOCAL OTHER;180979706;A
4;MEXICO ZONE2;52674;A
4;INDIA GSM;9181879;A
4;DOMINICAN REP GSM ORANGE;180985997;A
4;INDIA GSM VODAFONE;919838;A
4;SWEDEN GSM TELENOR;4673479;A
4;DOMINICAN REP LOCAL OTHER;180995530;A
4;IVORY COAST GSM ORA;22507;D
4;DOMINICAN REP LOCAL OTHER;180982501;A
4;DOMINICAN REP GSM;1829663;A
4;SOUTH AFRICA PRS;2711210410;C
4;DOMINICAN REP LOCAL OTHER;18098727;A
4;LATVIA OLO;3716772;E
4;DOMINICAN REP LOCAL OTHER;18092554;A
4;RUSSIA ZONE 5;7413;A
4;MEXICO ZONE2;52324;A
4;DOMINICAN REP GSM ORANGE;1849245;A
4;DOMINICAN REP NATIONAL VIVA;18292533;A
4;BULGARIA OLO;35965419;A
4;DOMINICAN REP LOCAL OTHER;180973431;A
4;REUNION GSM SRR;26269264;A
4;NIGERIA GSM GLOBACOM;234705;A
4;SOUTH AFRICA PRS;27410150;C
4;DOMINICAN REP LOCAL OTHER;1809985;A
4;USA;1213;A
4;DOMINICAN REP GSM ORANGE;1829570;A
4;POLAND OLO;48172833;A
4;BRAZIL GSM;55196;A
4;POLAND OLO;48447166;A
4;INDIA GSM;9186208;A
4;MALI GSM ORANGE;22390;D
4;DOMINICAN REP LOCAL OTHER;180922730;A
4;GAMBIA GSM;2206;E
4;BRAZIL GSM;55957;A
4;UKRAINE GSM KIEVSTAR;380897;B
4;POLAND GSM PM4;4873997;A
4;DOMINICAN REP GSM VIVA;1829416;A
4;LIBYA GSM;21895;D
4;DOMINICAN REP LOCAL OTHER;180924790;A
4;POLAND OLO;48552412;A
4;NORWAY GSM TELENOR;474110;A
4;INDIA GSM;9177188;A
4;SWEDEN GSM TELIA;467222;A
4;INDIA GSM;9185668;A
4;REUNION GSM SRR;26269218;A
4;UKRAINE CITIES;380622;B
4;DOMINICAN REP LOCAL OTHER;180954570;A
4;AUSTRIA GSM HI3G;4367890;A
4;DOMINICAN REP GSM ORANGE;1829554;A
4;LATVIA GSM TELE2;3712844;D
4;DOMINICAN REP GSM ORANGE;1829826;A
4;GEORGIA GSM;99558;C
4;INDIA GSM;9185598;A
4;DOMINICAN REP LOCAL OTHER;18092438;A
4;DOMINICAN REP GSM ORANGE;1809919;A
4;INDIA GSM VODAFONE;919655;A
4;POLAND OLO;48632633;A
4;SUDAN GSM;24911;B
4;POLAND OLO;4875770;A
4;MEXICO GSM ZONE2;521393;A
4;INDIA GSM VODAFONE;919646;A
4;POLAND OLO;482233;A
4;CHILE RUR;56732971;A
4;UKRAINE GSM KIEVSTAR;38097;B
4;TRINIDAD-TOBAGO GSM;186849;B
4;POLAND OLO;48773084;A
4;DOMINICAN REP LOCAL OTHER;180982532;A
4;SOUTH AFRICA PRS;27440910;C
4;DOMINICAN REP LOCAL OTHER;180925558;A
4;INDIA GSM;9178469;A
4;ALBANIA AMC;35581141;B
4;DOMINICAN REP LOCAL OTHER;1829832;A
4;USA OLO;1907662;A
4;SPAIN GSM ORANGE;346883;A
4;MEXICO ZONE3;52716;A
4;DOMINICAN REP GSM VIVA;1809717;A
4;PORTUGAL GSM MEO;351659220;A
4;LITHUANIA PRS;37066909;G
4;DOMINICAN REP LOCAL OTHER;180973113;A
4;INDIA GSM;9181109;A
4;REUNION GSM SRR;26269257;A
4;MEXICO ZONE3;52429;A
4;SOUTH AFRICA PRS;27120101;C
4;MOROCCO GLOBALSTAR;2126921;F
4;DOMINICAN REP LOCAL OTHER;180922797;A
4;DOMINICAN REP GSM;1829283;A
4;POLAND OLO;48225987;A
4;POLAND OLO;48173000;A
4;INDIA GSM;9176929;A
4;CHILE RUR;56552198;A
4;DOMINICAN REP LOCAL OTHER;180969555;A
4;POLAND GSM PLUS;48722;A
4;INDIA GSM;9188578;A
4;TAIWAN GSM;8869;A
4;USA OLO;1907320;A
4;SOUTH AFRICA PRS;27578800;C
4;POLAND OLO;4816306;A
4;DOMINICAN REP NATIONAL VIVA;182953052;A
4;UK GSM TMOBILE;447903;A
4;THAILAND GSM DTAC;6688838;A
4;CHILE RUR;56422197;A
4;DOMINICAN REP LOCAL OTHER;180947382;A
4;UK GSM HI3G;447380;A
4;DOMINICAN REP GSM VIVA;1849233;A
4;UK GSM VODAFONE;447391;A
4;GUADELOUPE GSM ONLY;59069099;A
4;DOMINICAN REP LOCAL OTHER;18092475;A
4;USA OLO;1660725;A
4;DOMINICAN REP GSM;1809497;A
4;BRAZIL GSM;55989;A
4;SOUTH AFRICA PRS;27517860;C
4;RUSSIA GSM BEELINE;790896;C
4;BOSNIA GSM BIH;38760401;C
4;BRAZIL GSM;553798;A
4;RUSSIA ZONE 3;73912;A
4;CZECH REPUBLIC PRS;420842;A
4;AUSTRIA GSM;4368877;A
4;SWEDEN GSM TELENOR;46701972;A
4;SOUTH AFRICA PRS;27310130;C
4;INDIA GSM;9186489;A
4;BRAZIL GSM;55988;A
4;AUSTRIA GSM HI3G;4367833;A
4;UK GSM O2;447761;A
4;DOMINICAN REP LOCAL OTHER;180973168;A
4;ECUADOR GSM PORTA;5939697;B
4;SPAIN GSM;346;A
4;CANADA;1249;A
4;BRAZIL GSM;55387;A
4;UK GSM HI3G;447477;A
4;INDIA GSM RELIANCE;917877;A
4;THAILAND GSM DTAC;668364;A
4;LITHUANIA PRS;3708;G
4;DENMARK GSM TDC;459290;A
4;DOMINICAN REP LOCAL OTHER;180928976;A
4;SWITZERLAND GSM;4177;B
4;MOROCCO IAM;212528;A
4;INDIA GSM;9181989;A
4;DOMINICAN REP LOCAL OTHER;180958198;A
4;IVORY COAST GSM MTN;22585;C
4;SOMALIA GSM;25262;E
4;POLAND OLO;48338700;A
4;DOMINICAN REP LOCAL OTHER;180982503;A
4;POLAND GSM ORANGE;48508;A
4;DOMINICAN REP LOCAL OTHER;180973129;A
4;NORWAY PRS;4709;B
4;CANADA NWT;1250779;A
4;INDIA GSM;9186480;A
4;POLAND OLO;48158475;A
4;DOMINICAN REP LOCAL OTHER;180969547;A
4;GUADELOUPE GSM ORA;59069061;A
4;INDIA CITIES;9181;A
4;BULGARIA OLO;3595195;A
4;BULGARIA OLO;35936419;A
4;DOMINICAN REP GSM ORANGE;1849918;A
4;SOUTH AFRICA PRS;27152800;C
4;MOROCCO GSM WANA REST MOBILITY;212534;C
4;CHILE RUR;56614;A
4;POLAND GSM ERA;485386;A
4;DOMINICAN REP GSM ORANGE;1849247;A
4;INDIA GSM;9189449;A
4;LITHUANIA OLO;37045540;B
4;COLOMBIA GSM OLA;57300;A
4;DOMINICAN REP GSM ORANGE;1829640;A
4;USA OLO;1907442;A
4;KENYA GSM SAFARICOM;254798;B
4;POLAND GSM PLUS;4869928;A
4;POLAND OLO;482421;A
4;TOKELAU;690;G
4;NORWAY GSM NETCOM;474578;A
4;INDIA GSM;9184880;A
4;USA;1310;A
4;POLAND GSM PLUS;487296;A
4;TONGA GSM;67654;G
4;THAILAND GSM DTAC;668590;A
4;ALBANIA AMC;3558550;B
4;INDIA GSM;9177719;A
4;INDIA GSM;9187289;A
4;INDIA GSM;9187300;A
4;DOMINICAN REP LOCAL OTHER;180987272;A
4;INDIA GSM;9177859;A
4;DOMINICAN REP GSM VIVA;1809413;A
4;SOUTH AFRICA PRS;27410062;C
4;INDIA GSM;918401;A
4;INDIA GSM;9177849;A
4;NEPAL GSM;977994;B
4;UKRAINE GSM UMC;38095;B
4;SOUTH AFRICA PRS;27511100;C
4;PORTUGAL GSM NOS;351659291;A
4;BRAZIL GSM;551195038;A
4;UK GSM ORANGE;447965;A
4;SPAIN GSM VODAFONE;346014;A
4;BRAZIL GSM;551195027;A
4;DOMINICAN REP GSM;1809232;A
4;DENMARK GSM;456098;A
4;MEXICO ZONE3;52599;A
4;POLAND OLO;48297538;A
4;INDIA GSM;9182599;A
4;POLAND OLO;48611612;A
4;INDIA GSM BSNL;918547;A
4;DOMINICAN REP LOCAL OTHER;18097281;A
4;POLAND OLO;48468160;A
4;POLAND OLO;48586676;A
4;GUINEA BISSAU;245;E
4;POLAND OLO;48177158;A
4;INDIA CITIES;9187;A
4;SWEDEN GSM COMVIQ;467284;A
4;AUSTRALIA CITIES;61865;A
4;SOUTH AFRICA PRS;2711869261;C
4;NORWAY PRS;471881;B
4;MOROCCO GSM IAM;212616;E
4;INDIA GSM VODAFONE;918469;A
4;INDIA GSM;9175750;A
4;BRAZIL GSM;555481;A
4;ALBANIA AMC;35586796;B
4;DOMINICAN REP GSM ORANGE;1809889;A
4;INDIA GSM;9185640;A
4;DOMINICAN REP GSM ORANGE;1809848;A
4;BRAZIL GSM;55115211;A
4;POLAND PRS;48708488;A
4;BRAZIL GSM;55119520;A
4;POLAND OLO;48122031;A
4;SWEDEN GSM TELENOR;4673457;A
4;SOUTH AFRICA PRS;27364920;C
4;DOMINICAN REP GSM VIVA;1849235;A
4;SLOVAKIA GSM EUROTEL;421912;A
4;GREECE GSM COSMOTE;30697;A
4;DOMINICAN REP LOCAL VIVA;1829995;A
4;BOSNIA SRPSKA;387594;B
4;BRAZIL GSM;55966;A
4;ALBANIA AMC;35589164;B
4;MEXICO GSM ZONE2;521641;A
4;INDIA GSM BSNL;917588;A
4;UK GSM ORANGE;447794;A
4;SOUTH AFRICA PRS;27151012;C
4;DOMINICAN REP LOCAL OTHER;18097363;A
4;SOUTH AFRICA PRS;271121041;C
4;LEBANON GSM MTC;96139;B
4;MEXICO ZONE3;52454;A
4;MOZAMBIQUE GSM VODA;25884;C
4;USA OLO;1907571;A
4;DOMINICAN REP LOCAL OTHER;1809273;A
4;MOZAMBIQUE GSM MCEL;25882;C
4;SOUTH AFRICA PRS;27130650;C
4;INDIA GSM;9177320;A
4;BOSNIA SRPSKA;38735482;B
4;MEXICO ZONE3;52768;A
4;INDIA GSM;9175258;A
4;ECUADOR GSM PORTA;5939993;B
4;DOMINICAN REP GSM;1829436;A
4;SOUTH AFRICA PRS;27211800;C
4;LEBANON GSM;961764;B
4;INDIA GSM;9181329;A
4;DOMINICAN REP LOCAL OTHER;18097975;A
4;SWEDEN GSM COMVIQ;467359;A
4;INDIA GSM;9175819;A
4;INDIA GSM VODAFONE;918348;A
4;DOMINICAN REP LOCAL OTHER;18097348;A
4;DOMINICAN REP LOCAL OTHER;180951888;A
4;SOUTH AFRICA PRS;2711247174;C
4;DOMINICAN REP GSM;1809674;A
4;ALBANIA AMC;35537494;B
4;AUSTRALIA GSM;614888;A
4;SURINAME GSM;59784;C
4;ICELAND GSM;354781;A
4;SOUTH AFRICA PRS;2714004;C
4;MOROCCO GSM WANA FULL MOBILITY;212646;E
4;INDIA GSM;9186460;A
4;USA OLO;1205893;A
4;POLAND GSM PM4;487993;A
4;SOUTH AFRICA PRS;27100302;C
4;MARTINIQUE GSM ONLY;59669688;A
4;ISRAEL GSM;97251;A
4;DOMINICAN REP GSM ORANGE;1849751;A
4;INDIA GSM;918607;A
4;DOMINICAN REP LOCAL OTHER;180947293;A
4;INDIA GSM;9184148;A
4;BRAZIL GSM;5521983;A
4;DOMINICAN REP GSM ORANGE;1829885;A
4;BULGARIA OLO;359445;A
4;MEXICO GSM;521;B
4;INDIA GSM;9177270;A
4;POLAND OLO;4854281;A
4;DOMINICAN REP GSM;1809669;A
4;SOUTH AFRICA PRS;27151011;C
4;BRAZIL GSM;559881;A
4;COSTA RICA GSM;5066;A
4;TONGA GSM;67652;G
4;DOMINICAN REP GSM;1849206;A
4;SOUTH AFRICA PRS;2785153;C
4;POLAND OLO;48393222;A
4;SOUTH AFRICA PRS;27411010;C
4;POLAND OLO;4814673;A
4;DOMINICAN REP GSM;1829232;A
4;PERU RURAL;518248;A
4;SOUTH AFRICA PRS;2785400;C
4;BRAZIL GSM;55589;A
4;DOMINICAN REP GSM VIVA;1809216;A
4;NORWAY PRS;47815;B
4;BRAZIL GSM;551195192;A
4;COMOROS;269;E
4;INDIA GSM;9182269;A
4;BRAZIL GSM;551195520;A
4;INDIA GSM;9175729;A
4;POLAND OLO;48483445;A
4;MOROCCO IAM;212802;A
4;POLAND OLO;48260269;A
4;INDIA GSM;9184628;A
4;SWITZERLAND GSM SUN;41860772;A
4;SOUTH AFRICA PRS;27511014;C
4;PHILIPPINES GSM GLOB;63917;B
4;SOUTH AFRICA PRS;2785150;C
4;TRINIDAD GSM DIGICEL;18683;B
4;DOMINICAN REP LOCAL OTHER;18095984;A
4;DOMINICAN REP GSM;1829282;A
4;DOMINICAN REP GSM VIVA;1809441;A
4;DOMINICAN REP LOCAL OTHER;180973422;A
4;GUADELOUPE GSM DIGI;59069042;A
4;IRIDIUM;8816;H
4;POLAND GSM ERA;48784;A
4;DOMINICAN REP GSM;1809782;A
4;SOUTH AFRICA PRS;27104000;C
4;INDIA GSM;917099152;A
4;POLAND GSM PM4;485719;A
4;SOUTH AFRICA PRS;27477763;C
4;BRAZIL GSM;551152;A
4;INDIA GSM;918269;A
4;DOMINICAN REP LOCAL OTHER;180922746;A
4;POLAND OLO;481229;A
4;INDIA GSM;9183949;A
4;SPAIN GSM ORANGE;346685;A
4;SOUTH AFRICA PRS;27330321;C
4;INDIA GSM VODAFONE;918006;A
4;POLAND OLO;48856821;A
4;POLAND OLO;48914556;A
4;INDIA GSM;9185799;A
4;INDIA GSM VODAFONE;918939;A
4;POLAND OLO;48627394;A
4;SWEDEN GSM TELIA;467271;A
4;DOMINICAN REP LOCAL OTHER;180926239;A
4;POLAND OLO;484294;A
4;POLAND OLO;48757177;A
4;DOMINICAN REP LOCAL OTHER;180973085;A
4;POLAND OLO;4885735;A
4;USA;1248;A
4;CYPRUS NORTH GSM;9053385;B
4;SOUTH AFRICA GSM TELKOM;27814;B
4;BURUNDI GSM;25777;E
4;USA;1813;A
4;POLAND OLO;48825777;A
4;BRAZIL GSM;55138;A
4;UK GSM O2;447850;A
4;POLAND GSM ERA;487343;A
4;DOMINICAN REP GSM;1829527;A
4;BRAZIL GSM;55217961;A
4;GUADELOUPE GSM DIGI;59069044;A
4;NORWAY GSM NETCOM;474675;A
4;QATAR GSM;97421;B
